Date,Approve NET,Approve Strongly,Approve Somewhat,Disapprove NET,Disapprove Somewhat,Disapprove Strongly,No opinion
8/29/18,36,24,12,60,7,53,4
4/11/18,40,25,15,56,10,46,4
1/18/18,36,24,13,58,9,49,5
11/1/17,37,25,12,59,8,50,4
9/21/17,39,26,13,57,9,48,4
8/20/17,37,22,15,58,13,45,5
7/13/17,36,25,11,58,10,48,6
4/20/17,42,27,15,53,10,43,5
